Altium Designer Pick and Place Locations
C:\Users\ga92wum\git\UltraZohm\PCB\UZ_frontpanel\Project Outputs for uz_frontpanel\Rev01\Pick Place\Pick Place for frontpanel.csv

========================================================================================================================
File Design Information:

Date:       04.11.21
Time:       15:08
Revision:   e7faaa60594e01af7666a317d399bc5831c11556
Variant:    No variations
Units used: mm

"Designator","Footprint","Ref-X(mm)","Center-X(mm)","Ref-Y(mm)","Center-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Rotation","Comment","Layer"
"X18","IPL1-113-01-XX-D-K","60.0000","58.7300","24.7000","39.9400","60.0000","24.7000","90","IPL1-113-01-XX-D-K","BottomLayer"
"D4","LEDM2012X80N","128.2900","128.2900","56.9000","56.9000","127.3400","56.9000","0","150080GS75000","TopLayer"
"D3","LEDM2012X80N","120.2900","120.2900","56.9000","56.9000","119.3400","56.9000","0","150080RS75000","TopLayer"
"D2","LEDM2012X80N","112.2900","112.2900","56.9000","56.9000","111.3400","56.9000","0","150080GS75000","TopLayer"
"D1","LEDM2012X80N","104.2900","104.2900","56.9000","56.9000","103.3400","56.9000","0","150080GS75000","TopLayer"
"Y2","P16-TF","35.0000","35.0000","11.0000","13.7500","39.8000","13.7500","0","P16-TF","TopLayer"
"Y1","P16-TF","12.0000","12.0000","11.0000","13.7500","16.8000","13.7500","0","P16-TF","TopLayer"
"Y3","P16-TF-R","58.0000","58.0000","11.0000","11.0000","58.0000","4.7500","0","P16-TF-R","TopLayer"
"R4","RES_0805_2012","128.2900","128.2900","50.4000","50.4000","128.2900","49.5250","90","100R","TopLayer"
"R3","RES_0805_2012","120.2900","120.2900","50.4000","50.4000","120.2900","49.5250","90","100R","TopLayer"
"R2","RES_0805_2012","112.2900","112.2900","50.4000","50.4000","112.2900","49.5250","90","100R","TopLayer"
"R1","RES_0805_2012","104.2900","104.2900","50.4000","50.4000","104.2900","49.5250","90","100R","TopLayer"
